Seccion,azul ,rojo ,naranja ,negro 
476,11,48,10,2
476,12,46,7,4
476,14,48,7,3
476,12,42,10,3
477,22,38,9,1
477,20,46,8,2
477,24,39,11,1
477,20,39,8,3
477,21,44,7,2
477,27,36,3,2
477,23,37,8,2
477,23,40,5,2
479,21,42,5,3
479,16,46,3,2
479,22,44,3,1
479,13,43,5,1
480,16,49,6,2
480,18,49,4,1
480,18,49,5,2
480,19,46,6,1
481,18,44,4,2
481,23,41,4,2
482,11,61,2,2
482,13,59,4,1
482,14,41,1,1
482,18,38,3,1
483,19,26,5,2
483,18,28,5,4
484,27,34,6,3
484,28,27,9,1
485,23,33,6,2
485,21,39,8,3
485,23,38,6,2
485,22,27,6,3
486,28,34,4,2
486,29,35,6,3
486,34,32,6,3
486,28,34,5,2
488,23,26,4,5
632,26,48,12,3
632,25,56,8,2
632,22,49,8,4
633,23,47,11,2
633,26,46,11,2
633,24,53,9,3
634,28,47,10,2
634,27,47,12,2
634,20,52,8,6
652,25,43,13,1
652,28,41,11,3
652,26,42,15,2
652,36,34,14,3
653,23,51,11,1
653,32,43,13,3
654,18,34,7,3
655,14,38,10,4
655,12,45,9,2
656,12,33,7,3
656,11,30,6,2
656,10,31,6,4
656,13,25,6,4
657,15,35,7,3
657,13,38,7,2
658,16,35,10,1
658,17,32,11,5
658,20,35,10,2
658,13,42,13,2
659,15,40,6,2
659,14,45,8,1
659,13,43,8,3
660,8,35,8,3
660,14,31,8,3
660,10,36,8,6
660,37,37,8,2
661,8,39,7,4
661,9,42,8,3
64,45,33,6,2
64,45,31,10,2
68,44,33,8,2
69,46,32,7,0
69,52,26,8,1
70,50,31,9,1
78,47,33,6,1
78,44,32,11,2
80,39,34,10,1
80,39,34,9,2
80,38,35,10,3
80,35,42,11,2
80,41,34,9,2
80,37,42,8,2
80,39,34,10,2
80,48,29,7,1
80,43,32,9,2
80,41,34,11,1
80,48,33,5,0
80,42,34,8,1
84,26,43,9,3
84,24,49,9,3
84,23,49,8,4
85,23,46,10,2
85,26,45,11,1
85,38,35,8,4
85,25,41,12,5
85,32,40,10,1
85,26,46,11,2
86,30,37,11,3
86,32,37,14,3
86,28,45,13,3
86,28,40,12,2
86,28,38,11,6
86,34,37,12,3
86,31,39,12,0
86,28,36,15,2
86,26,48,10,2
86,28,41,11,2
86,30,45,10,3
86,31,37,12,3
86,31,38,10,2
86,29,43,11,4
86,30,43,9,2
86,35,37,11,2
86,31,43,11,1
86,29,40,14,2
86,29,43,9,1
87,36,40,10,2
87,35,40,11,2
87,34,40,11,2
88,35,37,9,3
88,34,41,10,1
89,28,47,7,2
89,29,40,10,1
90,51,25,7,1
90,53,27,9,1
90,47,30,8,2
90,56,23,8,1
90,47,29,7,2
91,46,27,10,2
91,49,32,9,1
92,43,35,9,2
92,48,27,8,2
93,42,33,12,1
93,43,32,10,2
94,33,42,10,3
95,37,37,10,2
95,36,33,15,2
96,38,36,11,2
96,40,34,12,2
96,41,33,12,1
96,34,39,13,2
97,14,44,9,3
97,23,48,4,6
99,34,43,8,2
99,34,36,10,2
99,24,39,12,5
100,32,43,9,2
100,24,46,9,3
101,41,36,11,2
101,33,40,10,2
101,33,41,10,3
102,27,43,7,3
102,29,40,9,2
103,33,44,9,3
103,39,40,9,4
104,27,49,7,3
105,31,44,7,2
106,42,36,6,2
106,46,38,6,0
107,42,28,12,4
107,48,31,12,1
108,45,34,10,3
108,39,37,11,3
109,41,33,10,3
109,38,38,9,3
110,45,31,9,4
110,47,26,9,1
111,26,43,12,3
111,26,41,9,3
112,43,35,9,1
112,41,34,10,1
113,43,31,10,2
113,43,36,8,2
114,40,32,9,1
114,33,35,12,4
